nota_final,universidade
657.53,UFPE
515.68,UPE
578.28,UPE
576.44,UFPE
618.51,UFPE
722.42,UFPE
724.14,UPE
598.76,UFPE
765.89,UFPE
639.46,UPE
631.68,UPE
702.74,UPE
613.54,UPE
570.28,UFPE
503.56,UPE
548.14,UPE
781.05,UFPE
722.11,UFPE
616.51,UFPE
580.48,UPE
635.18,UFPE
711.04,UFPE
696.35,UFPE
553.78,UPE
774.3,UFPE
711.54,UFPE
837.81,UFPE
758.22,UFPE
771.98,UFPE
624.26,UFPE
544.82,UPE
775.0,UFPE
580.7,UFPE
654.05,UFPE
483.52,UPE
791.27,UFPE
668.94,UPE
620.68,UPE
757.28,UFPE
642.23,UFPE
786.48,UFPE
683.16,UFPE
650.89,UFPE
563.42,UPE
654.35,UFPE
568.71,UFPE
719.64,UPE
566.84,UPE
675.7,UPE
712.12,UPE
666.38,UPE
720.46,UPE
457.8,UPE
547.44,UPE
686.84,UPE
585.74,UPE
454.92,UPE
713.64,UPE
588.32,UPE
671.8,UPE
533.8,UPE
544.9,UPE
546.26,UPE
626.18,UPE
717.26,UPE
706.86,UPE
500.98,UPE
663.0,UPE
585.54,UPE
643.54,UPE
712.16,UPE
534.44,UPE
483.2,UPE
670.84,UPE
474.52,UPE
476.04,UPE
542.88,UPE
538.5,UPE
486.92,UPE
482.4,UPE
572.2,UPE
495.8,UPE
580.16,UPE
492.64,UPE
503.38,UPE
519.96,UPE
717.7,UPE
517.48,UPE
647.46,UPE
563.02,UPE
511.66,UPE
720.28,UPE
741.36,UPE
734.38,UPE
724.56,UPE
740.34,UPE
736.38,UPE
722.16,UPE
721.98,UPE
764.9,UPE
731.48,UPE
742.72,UPE
726.9,UPE
808.0,UFPE
772.27,UFPE
806.3,UFPE
823.23,UFPE
788.89,UFPE
785.94,UFPE
786.72,UFPE
790.21,UFPE
819.05,UFPE
787.27,UFPE
838.35,UFPE
778.08,UFPE
808.92,UFPE
770.26,UFPE
799.61,UFPE
799.0,UFPE
822.54,UFPE
776.01,UFPE
792.33,UFPE
822.62,UFPE
759.61,UFPE
614.23,UFPE
624.4,UFPE
676.22,UFPE
608.1,UFPE
693.51,UFPE
742.61,UFPE
614.29,UFPE
764.67,UFPE
659.51,UFPE
762.86,UFPE
739.1,UFPE
763.79,UFPE
616.77,UFPE
751.09,UFPE
648.11,UFPE
761.36,UFPE
744.08,UFPE
647.37,UFPE
720.0,UFPE
